dataset,original_label,standardized_label,mapping_confidence,reason,notes
KDD99,normal,BENIGN,High,Represents standard benign traffic,Classified as normal in KDD99
KDD99,smurf,DoS,High,ICMP echo request flood,Denial of Service attack
KDD99,neptune,DoS,High,SYN flood attack,Denial of Service attack
KDD99,back,DoS,High,Apache Denial of Service,Floods network with requests
KDD99,teardrop,DoS,High,IP fragment reassembly DoS,Exploits vulnerability in IP stack
KDD99,pod,DoS,High,Ping of Death,Malformed ping packet flood
KDD99,land,DoS,High,Spoofed SYN packet with source=dest,Causes loop back on victim
KDD99,satan,Probe/Reconnaissance,High,Network scanning/probing tool,Scans ports and services
KDD99,ipsweep,Probe/Reconnaissance,High,IP sweep ping scan,Identifies active hosts
KDD99,portsweep,Probe/Reconnaissance,High,Port scan,Identifies active services on a host
KDD99,nmap,Probe/Reconnaissance,High,Nmap network port scanner,Active scanner tool
KDD99,guess_passwd,Brute Force,High,SSH/Telnet password guessing,Brute force credential attempt
KDD99,buffer_overflow,Exploitation,High,Buffer overflow exploit,Usually leads to privilege escalation
KDD99,loadmodule,Privilege Escalation,High,Exploit in loadmodule inside SunOS,Acquires root privileges
KDD99,perl,Privilege Escalation,High,Exploit using Perl script on SunOS,Acquires root privileges
KDD99,rootkit,Privilege Escalation,High,Rootkit installation,Persistent privilege escalation
KDD99,ftp_write,Credential/Access Attack,Medium,Unauthorized writing via anonymous FTP,Gain access/write privileges
KDD99,multihop,Credential/Access Attack,Medium,Multi-hop access attempt,Pivoting/lateral movement attempt
KDD99,phf,Web Attack,High,Exploit in CGI phf script,Executes arbitrary commands via web
KDD99,spy,Probe/Reconnaissance,Low,User spying/snooping,Unclear behavior in original evaluation
KDD99,imap,Credential/Access Attack,High,IMAP vulnerability exploitation,Attempts to gain remote system access
KDD99,warezclient,Other,Medium,Downloading unauthorized warez,Policy violation / file download
KDD99,warezmaster,Other,Medium,Uploading unauthorized warez,Policy violation / file upload
NSL-KDD,normal,BENIGN,High,Normal benign traffic,Matches KDD99 normal
NSL-KDD,neptune,DoS,High,SYN flood attack,Matches KDD99 DoS
NSL-KDD,satan,Probe/Reconnaissance,High,Port/host scanning,Matches KDD99 Probe
NSL-KDD,ipsweep,Probe/Reconnaissance,High,IP scanning,Matches KDD99 Probe
NSL-KDD,portsweep,Probe/Reconnaissance,High,Port scanning,Matches KDD99 Probe
NSL-KDD,smurf,DoS,High,ICMP echo request flood,Matches KDD99 DoS
NSL-KDD,nmap,Probe/Reconnaissance,High,Nmap port scanning,Matches KDD99 Probe
NSL-KDD,back,DoS,High,Web server request flood,Matches KDD99 DoS
NSL-KDD,teardrop,DoS,High,Malformed fragment DoS,Matches KDD99 DoS
NSL-KDD,warezclient,Other,Medium,Unauthorized software transfer,Matches KDD99 Other
NSL-KDD,pod,DoS,High,Malformed ping flood,Matches KDD99 DoS
NSL-KDD,guess_passwd,Brute Force,High,Password brute forcing,Matches KDD99 Brute Force
NSL-KDD,snmpguess,Brute Force,High,SNMP community string guessing,Credential guessing attempt
NSL-KDD,snmpgetattack,Credential/Access Attack,Medium,SNMP information disclosure,Accessing system configuration
NSL-KDD,mailbomb,DoS,High,Email system flooding,DoS on mail server
NSL-KDD,apache2,DoS,High,Apache server connection exhaustion DoS,Denial of Service attack
NSL-KDD,processtable,DoS,High,Process table exhaustion attack,Exhausts system processes
NSL-KDD,udpstorm,DoS,High,UDP loop packet flood,Causes Denial of Service
NSL-KDD,mscan,Probe/Reconnaissance,High,Multiservice port scanner,Scan tool
NSL-KDD,saint,Probe/Reconnaissance,High,SAINT security scanner,Scans vulnerabilities
NSL-KDD,sendmail,Exploitation,High,Sendmail buffer overflow,Remote exploitation
NSL-KDD,named,Exploitation,High,DNS named daemon exploit,Remote exploitation
NSL-KDD,xterm,Privilege Escalation,High,Xterm buffer overflow,Local privilege escalation
NSL-KDD,xsnoop,Credential/Access Attack,High,X11 keystroke logging,Steals keystrokes/credentials
NSL-KDD,ps,Privilege Escalation,High,Local utility buffer overflow,Privilege escalation
NSL-KDD,sqlattack,Exploitation,High,SQL injection attempt,Attempts database access/exploitation
UNSW-NB15,Normal,BENIGN,High,Represents benign normal traffic,Flow classified as benign
UNSW-NB15,Generic,Other,Medium,Generic catch-all matching signatures,Unspecified category
UNSW-NB15,Exploits,Exploitation,High,Exploiting software vulnerabilities,Active vulnerability exploits
UNSW-NB15,Fuzzers,Other,Medium,Fuzzing network services,Injecting random data to crash/find bugs
UNSW-NB15,DoS,DoS,High,Denial of Service attacks,Includes various DoS methods
UNSW-NB15,Reconnaissance,Probe/Reconnaissance,High,Network reconnaissance/probing,Scans and discovery
UNSW-NB15,Analysis,Probe/Reconnaissance,High,Network scanning/web scanning,Scans and traffic analysis
